stop_code,name,latitude,longitude
STOP_DUNGARPUR_VILLAGE,Dungarpur Village,28.37,77.22
STOP_RAJPUR_KALAN_SAI_ELECTRICALS,"Rajpur Kalan, SAI Electricals",28.441275,77.028925
STOP_MUJERI_MOD_MIRZAPUR_SECTOR_74,"Mujeri Mod,Mirzapur Sector 74",28.382,77.035
STOP_NTPC_FARIDABAD,"NTPC, Faridabad",28.373,77.312
STOP_DISTRICT_PRISON_FARIDABAD_POST_OFFICE,District Prison Faridabad/ Post Office,28.3807,77.315225
STOP_NEEMKA_MOD,Neemka Mod,28.333,77.274
STOP_GOVT_HOSPITAL_TIGAON,"Govt. Hospital,Tigaon",28.392,77.323
STOP_CHANDER_MAL_CHOWK_BLOCK_DEV_AND_PANCHAYAT_OFFICER_TIGAON,"Chander Mal Chowk/Block Dev. and Panchayat Officer, Tigaon",28.39,77.32
STOP_PUNJAB_NATIONAL_BANK_TIGAON,"Punjab National Bank, Tigaon",28.389,77.319
STOP_MANDHAWALI_BHAINSRAWALI_MOD,Mandhawali /Bhainsrawali Mod,28.3966,77.298125
STOP_LEHDOLA_VILLAGE,Lehdola village,28.448225,77.048825
STOP_VIDHYASAGAR_INTERNATIONAL_SCHOOL_SD_GROUP_OF_INSTITUTION,Vidhyasagar international school /SD Group of Institution,28.466925,77.053025
STOP_RAIPUR_KALAN,Raipur Kalan,28.4475,77.0375
STOP_GHARODA_VILLAGE,Gharoda village,28.447875,77.051475
STOP_MAJHAWALI_VILLAGE,Majhawali Village,28.460425,77.038325
STOP_SECTOR_55_56_MODE,Sector - 55/56 Mode,28.424,77.104
STOP_GAUNCHHI,Gaunchhi,28.352,77.322
STOP_LAL_KHOTHI,Lal Khothi,28.348,77.325
STOP_PARVATIYA_COLONY_SAROORPUR,"Parvatiya Colony, Saroorpur",28.344,77.328
STOP_SAROORPUR,Saroorpur,28.343,77.33
STOP_NAGAR_CHOWK,Nagar Chowk,28.347,77.334
STOP_NAGLA_ENCLAVE_PART_I,"Nagla Enclave,Part I",28.352,77.334
STOP_NAGLA_GUJRAN,Nagla Gujran,28.357,77.332
STOP_GAZIPUR_MOD,Gazipur Mod,28.364,77.334
STOP_PALI_CHOWK,Pali Chowk,28.377,77.278
STOP_K_R_MANGALAM_SCHOOL_ASIAN_HOSPITAL,K.R Mangalam School/Asian Hospital,28.404,77.308
STOP_KHERI_KALAN_FARIDABAD,Kheri Kalan Faridabad,28.39,77.275
STOP_BADARPUR_SAID,Badarpur Said,28.371,77.28
STOP_JASANA_VILLAGE,Jasana Village,28.389,77.348
STOP_SIDOLA_VILLAGE,Sidola Village,28.33,76.975
STOP_ECHELON_INSTITUTE_OF_TECHNOLOGY_KABOOLPUR_KHADAR,"Echelon Institute of Technology, Kaboolpur Khadar",28.392,77.35
STOP_CHIRSI_VILLAGE,Chirsi Village,28.405,77.34
STOP_JB_COLLEGE,JB College,28.398,77.332
STOP_MANDI_MOD,Mandi Mod,28.384,77.331
STOP_JCB_CHOWK_SECTOR_55,JCB Chowk/sector 55,28.424,77.104
STOP_SECTOR_58_CHOWK,Sector - 58 Chowk,28.417,77.098
